,store,address
180,송도AT센터점,"인천광역시 연수구 송도과학로 70, 153호(송도동, 송도AT센터) "
181,교대점,"서울특별시 서초구 서초대로46길 15, 1층(서초동, 성은빌딩) "
182,역삼신한점,"서울특별시 강남구 언주로 405, 지상1층 106호(역삼동) "
183,역삼중앙점,"서울 강남구 강남구 논현로 425, 마이다스빌딩 1층 102호 "
184,삼성타운점,"서울특별시 서초구 서운로 138, 108호(서초동, 서초동아타워) "
185,내방점,"서울 서초구 방배로 174, 1층 "
186,호구포역점,"인천광역시 남동구 논현로46번길 22, 에이동 1층 115호(논현동, 코아루파크) "
187,서울대입구역점,"서울특별시 관악구 관악로 168, 제1층 제108-1호(봉천동, 대우디오슈페리움2단지) "
188,방이시장역점,"서울특별시 송파구 백제고분로 468, 1층(방이동, 금복빌딩) "
189,강남역점,"서울특별시 강남구 테헤란로4길 6, 지하1층 B114호(역삼동, 강남역센트럴 푸르지오 시티) "
190,휘문고교점,"서울특별시 강남구 역삼로 538, 지상1층 104호(대치동, 블루스카이보습학원) "
191,서초법원점,"서울특별시 서초구 서초중앙로24길 15, 1층(서초동, 단우빌딩) "
192,역삼신일유토빌점,"서울특별시 강남구 논현로87길 41, 1층 104-1호(역삼동, 신일유토빌) "
193,송도IT센터점,"인천광역시 연수구 송도과학로 32, 1층 에이 117-1호(송도동, 송도테크노파크IT센터) "
194,금천롯데타워점,"서울특별시 금천구 벚꽃로 110, 지상1층 101호(독산동, 명남더블레스) "
195,관악센츄리타워점,"서울시 관악구 남부순환로 1808, 1층 3호 "
196,하안사거리점,"경기 광명시 범안로 1050, 성보프라자 1층 107호 "
197,역삼언주로점,"서울특별시 강남구 언주로85길 32, 2층 201호(역삼동) "
198,강남해커스타운점,"서울특별시 서초구 서초대로77길 9, 1층 105호(서초동) "
199,테헤란로중앙점,"서울특별시 강남구 언주로 432-10, 1층 101호(역삼동, 역삼오피스텔) "
200,금천점,"서울특별시 금천구 시흥대로115길 13, 1층 102호, 103호(독산동) "
